id,category_id,venue_id
68,44,54
69,45,54
70,45,55
71,46,55
72,47,56
73,46,56
74,48,57
75,48,58
76,49,59
77,48,59
78,49,60
79,50,61
80,49,61
81,49,62
82,48,63
83,49,64
84,48,64
85,50,65
86,48,65
87,50,66
88,49,66
89,48,66
90,49,67
91,48,67
92,50,68
93,49,68
94,50,69
95,49,69
96,51,70
97,52,70
98,49,71
99,48,71
100,49,72
101,48,72
102,50,72
103,50,73
104,50,74
105,49,75
106,48,76
107,50,76
108,48,77
109,50,77
110,48,78
111,50,79
112,50,80
113,49,80
114,53,80
115,48,81
116,54,81
117,50,82
118,49,82
119,50,83
120,48,83
121,49,84
122,49,85
123,48,85
124,50,86
125,55,87
126,55,88
127,55,89
128,55,90
129,55,91
130,56,92
131,55,92
132,55,93
133,56,93
134,55,94
135,55,95
136,55,96
137,55,97
138,55,98
139,55,99
140,50,100
141,55,101
142,55,102
143,55,103
144,55,104
145,55,105
146,55,106
147,57,106
148,55,107
149,55,108
150,55,109
151,55,110
152,55,111
153,56,111
154,55,112
155,55,113
156,58,113
157,59,113
158,55,114
159,55,115
160,56,115
161,55,116
162,60,117
163,60,118
164,60,119
165,60,120
166,53,121
167,49,121
168,48,121
169,60,122
170,60,123
171,60,124
172,60,125
173,60,126
174,60,127
175,61,127
176,60,128
177,55,129
178,60,130
179,62,131
180,60,131
181,60,132
182,60,133
183,60,134
184,63,134
185,64,134
186,60,135
187,60,136
188,49,137
189,49,138
190,65,138
191,49,139
192,49,140
193,49,141
194,53,141
195,49,142
196,49,143
197,53,143
198,48,143
199,66,144
200,49,145
201,49,146
202,49,147
203,49,148
204,49,149
205,53,149
206,48,150
207,49,151
208,49,152
209,53,153
210,49,153
211,49,154
212,49,155
213,65,155
214,48,156
215,49,156
216,49,157
217,49,158
218,53,158
219,48,158
220,49,159
221,49,160
222,49,161
223,49,162
224,49,163
225,67,164
226,49,165
227,49,166
228,55,167
229,68,168
230,68,169
231,68,170
232,56,171
233,56,172
234,68,174
235,69,174
236,56,175
237,56,176
238,60,177
239,68,178
240,70,179
241,68,180
242,68,181
243,68,182
244,56,183
245,68,184
246,69,184
247,68,185
248,68,186
